"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"protein binding","GO:0005515","H4 - H2AX - HBB - FIBB - FRIL - H33 - IGHM - HBA - AOC3 - ACTBL - ALBU - FIBG - A2MG - FRIH - FIBA - HPT - FAS - CRYAB - ANXA2 - ADH1G - VIME - TBA1C - CO6A2 - ASSY - RTN4 - TBA4A - TRFL - EHD2 - CO6A1 - PERM - CO6A3 - ANXA5 - PGBM - PSA6 - ADH1B - PSA7 - CAV1 - RS27A - K2C1 - VWF - APOF - PSA4 - LAMB1 - LG3BP - LAMA4 - PSA1 - FINC - TBB5 - TBB6 - PGS2 - HYEP - GBB4 - MYO1C - KATL2 - METK1 - PSB2 - PSB4 - CLH1 - PSA5 - EF1A2 - PSB1 - K1C10 - DNPEP - TERA - MVP - IDHC - LDHB - ANXA1 - LIPS - H2AY - LAMB2 - IGHG2 - K1C18 - CSPG2 - LDHA - RTN3 - PSA3 - APOA1 - ANXA6 - PSB3 - PSA2",81,"MF"
"cytoplasm","GO:0005737","FRIL - ACTH - AOC3 - ACTBL - ALBU - FRIH - FAS - CRYAB - ANXA2 - ADH1G - VIME - TBA1C - ASSY - TBA4A - TRFL - EHD2 - ANXA5 - PSA6 - CATA - ADH1B - PSA7 - RS27A - K2C1 - PSA4 - LAMB1 - PSA1 - TBB5 - TBB6 - GBB4 - MYO1C - KATL2 - PSB2 - PSB4 - CLH1 - PSA5 - EF1A2 - PSB1 - K1C10 - DNPEP - TERA - MVP - IDHC - LDHB - ANXA1 - LIPS - K1C18 - LDHA - PSA3 - ANXA6 - PSB3 - PSA2",51,"CC"
"extracellular region","GO:0005576","H4 - HBB - FIBB - FRIL - H33 - IGHM - HBA - ALBU - FIBG - A2MG - FRIH - FIBA - HPT - CRYAB - ANXA2 - CO6A2 - TBA4A - TRFL - CO6A1 - PERM - CO6A3 - ANXA5 - PGBM - CATA - IGHA1 - LAMC1 - K2C1 - VWF - APOF - LAMB1 - LG3BP - LAMA4 - NID1 - FINC - TBB5 - PGS2 - PSA5 - PSB1 - K1C10 - TERA - MVP - IDHC - ANXA1 - LAMB2 - IGHG2 - CSPG2 - APOA1 - PSA2",48,"CC"
"cytosol","GO:0005829","HBB - FRIL - ACTH - HBA - FRIH - FAS - CRYAB - ANXA2 - ADH1G - VIME - ASSY - TBA4A - EHD2 - ANXA5 - PSA6 - CATA - ADH1B - PSA7 - RS27A - K2C1 - PSA4 - PSA1 - TBB5 - GBB4 - MYO1C - METK1 - PSB2 - PSB4 - CLH1 - PH4H - PSA5 - PSB1 - K1C10 - DNPEP - TERA - MVP - IDHC - LDHB - ANXA1 - LIPS - K1C18 - LDHA - PSA3 - APOA1 - PSB3 - PSA2",46,"CC"
"nucleus","GO:0005634","H4 - H2AX - H37 - H33 - ALBU - FRIH - CRYAB - ANXA2 - VIME - TBA1C - TRFL - EHD2 - PERM - PSA6 - PSA7 - RS27A - K2C1 - PSA4 - LAMB1 - PSA1 - TBB5 - TBB6 - MYO1C - PSB2 - PSB4 - PSA5 - PSB1 - K1C10 - DNPEP - TERA - MVP - ANXA1 - H2AY - K1C18 - LDHA - PSA3 - ANXA6 - PSB3 - PSA2",39,"CC"
"membrane","GO:0016020","H4 - FRIL - IGHM - HBA - AOC3 - ACTBL - FAS - ANXA2 - VIME - CO6A2 - RTN4 - EHD2 - CO6A1 - ANXA5 - CATA - IGHA1 - CAV1 - RS27A - K2C1 - LG3BP - HYEP - ACSL1 - MYO1C - PSB2 - CLH1 - EF1A2 - K1C10 - MVP - LDHB - ANXA1 - LIPS - IGHG2 - CSPG2 - LDHA - RTN3 - ANXA6",36,"CC"
"extracellular space","GO:0005615","HBB - FIBB - IGHM - ACTH - HBA - ACTBL - ALBU - FIBG - A2MG - FIBA - HPT - ANXA2 - CO6A2 - TRFL - PERM - CO6A3 - PGBM - CATA - IGHA1 - LAMC1 - RS27A - K2C1 - VWF - APOF - LAMB1 - LG3BP - FINC - PGS2 - K1C10 - ANXA1 - IGHG2 - CSPG2 - RTN3 - APOA1",34,"CC"
"metal ion binding","GO:0046872","HBB - FRIL - HBA - AOC3 - ALBU - FIBG - FRIH - FIBA - CRYAB - ADH1G - TBA1C - RTN4 - TBA4A - TRFL - EHD2 - PERM - PGBM - CATA - ADH1B - RS27A - TBB5 - TBB6 - METK1 - PH4H - EF1A2 - DNPEP - IDHC - ANXA1",28,"MF"
"plasma membrane","GO:0005886","FIBB - IGHM - AOC3 - FIBG - FIBA - FAS - CRYAB - ANXA2 - ADH1G - VIME - RTN4 - TRFL - EHD2 - PGBM - IGHA1 - ADH1B - CAV1 - RS27A - K2C1 - FINC - MYO1C - CLH1 - ANXA1 - LIPS - IGHG2 - RTN3 - APOA1 - ANXA6",28,"CC"
"nucleoplasm","GO:0005654","H4 - H2AX - H37 - H33 - CRYAB - ADH1G - ASSY - PERM - PSA6 - ADH1B - PSA7 - RS27A - PSA4 - PSA1 - MYO1C - PSB2 - PSB4 - PSA5 - PSB1 - TERA - ANXA1 - H2AY - PSA3 - PSB3 - PSA2",25,"CC"
