"name_1006","GO_IDs","Proteins","NumProteins_Healthy","ONTOLOGY"
"protein binding","GO:0005515","H2AX - H4 - HBB - IGHM - FRIL - HBA - H33 - FIBB - ALBU - A2MG - FRIH - HPT - CRYAB - ASSY - MYH1 - ACTBL - PERM - TRFL - FIBG - ELNE - AOC3 - VIME - KCRM - CO6A2 - K2C1 - FIBA - CO6A1 - TBA1C - FAS - TPM1 - CO6A3 - ADH1G - RTN4 - ANXA2 - PSA6 - PGBM - K1C10 - ACTC - EHD2 - TBA4A - AT2A1 - LAMA4 - PSA7 - PGS2 - KATL2 - LAMB1 - PSA4 - CSPG2 - LAMB2 - HYEP - IGHG2 - ANXA5 - VWF - PSA1 - PSB4 - PSA5 - RS27A - CAV1 - LDHB - FINC - MYO1C - TBB5 - APOA1 - PSB6 - PSB2 - LDHA - K1C18 - PSB1 - UGPA - ADH1B - TBB6 - LG3BP - TERA - CAP7",74,"MF"
"cytoplasm","GO:0005737","FRIL - MYH4 - MYH8 - ACTH - MYH13 - ALBU - FRIH - CRYAB - ASSY - MYH1 - ACTBL - TRFL - ELNE - AOC3 - VIME - KCRM - K2C1 - TBA1C - FAS - CATA - TPM1 - ADH1G - ANXA2 - PSA6 - K1C10 - ACTC - EHD2 - TBA4A - PSA7 - KATL2 - LAMB1 - PSA4 - ANXA5 - CD5L - PSA1 - PSB4 - PSA5 - RS27A - MEIOC - LDHB - MYO1C - TBB5 - PSB6 - PSB2 - LDHA - K1C18 - PSB1 - UGPA - ADH1B - TBB6 - TERA",51,"CC"
"extracellular region","GO:0005576","H4 - HBB - IGHM - FRIL - HBA - H33 - FIBB - ALBU - A2MG - FRIH - HPT - CRYAB - PERM - TRFL - FIBG - ELNE - CO6A2 - K2C1 - FIBA - CO6A1 - CATA - CO6A3 - ANXA2 - PGBM - LAMC1 - K1C10 - IGHA1 - TBA4A - LAMA4 - PGS2 - LAMB1 - NID1 - KV401 - CSPG2 - LAMB2 - IGHG2 - ANXA5 - VWF - KV320 - CD5L - PSA5 - IGJ - FINC - TBB5 - APOA1 - KV315 - PSB1 - LG3BP - TERA - CAP7",50,"CC"
"cytosol","GO:0005829","HBB - MYL1 - FRIL - MYH8 - HBA - ACTH - FRIH - CRYAB - ASSY - ELNE - VIME - KCRM - K2C1 - FAS - CATA - TPM1 - ADH1G - ANXA2 - K1C9 - PSA6 - K1C10 - ACTC - EHD2 - TBA4A - PSA7 - PSA4 - ANXA5 - PSA1 - PSB4 - PSA5 - RS27A - LDHB - MYO1C - TBB5 - APOA1 - PSB6 - PSB2 - LDHA - K1C18 - PSB1 - UGPA - ADH1B - TERA",43,"CC"
"extracellular space","GO:0005615","HBB - IGHM - HBA - ACTH - FIBB - ALBU - A2MG - HPT - ACTBL - PERM - TRFL - FIBG - ELNE - KCRM - CO6A2 - K2C1 - FIBA - CATA - CO6A3 - ANXA2 - K1C9 - PGBM - LAMC1 - K1C10 - IGHA1 - ACTC - PGS2 - LAMB1 - CSPG2 - IGHG2 - VWF - KV320 - CD5L - RS27A - IGJ - FINC - APOA1 - LG3BP - CAP7",39,"CC"
"membrane","GO:0016020","H4 - IGHM - FRIL - HBA - ACTBL - AOC3 - VIME - CO6A2 - K2C1 - CO6A1 - FAS - CATA - RTN4 - ANXA2 - K1C9 - K1C10 - IGHA1 - ACTC - EHD2 - AT2A1 - KV401 - CSPG2 - HYEP - IGHG2 - ANXA5 - KV320 - CD5L - RS27A - CAV1 - LDHB - MYO1C - PSB2 - LDHA - KV315 - LG3BP - CAP7",36,"CC"
"nucleus","GO:0005634","H2AX - H4 - H37 - H33 - ALBU - FRIH - CRYAB - PERM - TRFL - VIME - K2C1 - TBA1C - ANXA2 - K1C9 - PSA6 - K1C10 - EHD2 - PSA7 - LAMB1 - PSA4 - PSA1 - PSB4 - PSA5 - RS27A - MEIOC - MYO1C - TBB5 - PSB6 - PSB2 - LDHA - K1C18 - PSB1 - UGPA - TBB6 - TERA",35,"CC"
"plasma membrane","GO:0005886","IGHM - FIBB - CRYAB - TRFL - FIBG - AOC3 - VIME - K2C1 - FIBA - FAS - ADH1G - RTN4 - ANXA2 - PGBM - IGHA1 - EHD2 - KV401 - IGHG2 - KV320 - CD5L - RS27A - CAV1 - FINC - MYO1C - APOA1 - KV315 - ADH1B",27,"CC"
"metal ion binding","GO:0046872","HBB - FRIL - HBA - ALBU - FRIH - CRYAB - PERM - TRFL - FIBG - AOC3 - FIBA - TBA1C - CATA - ADH1G - RTN4 - PGBM - EHD2 - TBA4A - AT2A1 - RS27A - TBB5 - UGPA - ADH1B - TBB6",24,"MF"
"blood microparticle","GO:0072562","HBB - IGHM - HBA - ACTH - FIBB - ALBU - A2MG - HPT - FIBG - K2C1 - FIBA - IGHA1 - ACTC - KV401 - IGHG2 - KV320 - CD5L - IGJ - FINC - APOA1 - KV315 - LG3BP",22,"CC"
"extracellular matrix","GO:0031012","FIBB - A2MG - FIBG - ELNE - CO6A2 - FIBA - CO6A1 - CO6A3 - ANXA2 - PGBM - LAMC1 - LAMA4 - PGS2 - LAMB1 - NID1 - CSPG2 - LAMB2 - ANXA5 - VWF - FINC - LG3BP",21,"CC"
"identical protein binding","GO:0042802","FRIL - ALBU - FRIH - CRYAB - ASSY - AOC3 - VIME - FAS - CATA - TPM1 - ANXA2 - EHD2 - PSA7 - VWF - CAV1 - LDHB - FINC - APOA1 - LDHA - UGPA - TERA",21,"MF"
"nucleoplasm","GO:0005654","H2AX - H4 - H37 - H33 - CRYAB - ASSY - PERM - ADH1G - PSA6 - PSA7 - PSA4 - PSA1 - PSB4 - PSA5 - RS27A - MYO1C - PSB6 - PSB2 - PSB1 - ADH1B - TERA",21,"CC"
