"name_1006","GO_IDs","F0","F4","Healthy"
"(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity","GO:0019171","P49327","P49327","P49327"
"2-oxoglutarate metabolic process","GO:0006103","P12109, O75874","P12109","P12109"
"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity","GO:0004316","P49327","P49327","P49327"
"3-oxoacyl-[acyl-carrier-protein] synthase activity","GO:0004315","P49327","P49327","P49327"
"A band","GO:0031672",NA,NA,"P12882"
"ADP binding","GO:0043531","P55072","P55072","P55072"
"ADP-D-ribose binding","GO:0072570","O75367","O75367",NA
"ADP-D-ribose modification-dependent protein binding","GO:0160002","O75367","O75367",NA
"ATP binding","GO:0005524","P63267, Q562R1, P00966, Q9NZN4, P33121, O00159, Q8IYT4, Q00266, P55072","P63267, Q562R1, Q9NZN4, Q8IYT4, O00159, P55072, P33121","Q9Y623, P13535, P63267, Q9UKX3, P00966, P12882, Q562R1, P06732, P68032, Q9NZN4, O14983, Q8IYT4, O00159, P55072"
"ATP hydrolysis activity","GO:0016887","Q8IYT4, P55072","Q8IYT4, P55072","Q9Y623, P13535, O14983, Q8IYT4, P55072"
"ATP metabolic process","GO:0046034","P55072","P55072","Q9Y623, P13535, P55072"
"ATPase binding","GO:0051117","Q03135","Q03135","Q03135"
"ATPase complex","GO:1904949","P55072","P55072","P55072"
"AnxA2-p11 complex","GO:1990665","P07355","P07355","P07355"
"B cell receptor signaling pathway","GO:0050853","P01871, P01876, P01859","P01871, P01876","P01871, P01876, P01859"
"BAT3 complex binding","GO:1904288","P55072","P55072","P55072"
"Barr body","GO:0001740","P84243, O75367","P84243, O75367","P84243"
"Bergmann glial cell differentiation","GO:0060020","P08670","P08670","P08670"
"CENP-A containing nucleosome","GO:0043505","P62805","P62805","P62805"
"D-glucose binding","GO:0005536",NA,NA,"Q16851"
"DNA binding","GO:0003677","P62805, P16104, Q5TEC6, P84243, P02768, P02788, O75367","P62805, P16104, Q5TEC6, P84243, P02768, P02788, O75367, Q8IUE6","P16104, P62805, Q5TEC6, P84243, P02768, P02788"
"DNA damage checkpoint signaling","GO:0000077","P16104","P16104","P16104"
"DNA damage response","GO:0006974","P16104, P55072","P16104, P55072","P16104, P55072"
"DNA recombination","GO:0006310","P16104","P16104","P16104"
"DNA repair","GO:0006281","P16104, P55072, O75367","P16104, O75367, P55072","P16104, P55072"
"ERAD pathway","GO:0036503","P55072","P55072","P55072"
"ERBB signaling pathway","GO:0038127","Q14764","Q14764",NA
"G protein-coupled receptor signaling pathway","GO:0007186","Q9HAV0, P02647","Q9HAV0","P02647"
"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","GO:0007187","P04083","P04083",NA
"GPI anchor binding","GO:0034235",NA,"P04216",NA
